7,1,6,1998,63.0,4,0,2019,10,21,30.64480587707361,104.09835909062667,73.0
7,3,29,2009,85.21,4,1,2019,10,20,30.62000406247257,104.10178598780821,150.0
7,2,38,2009,155.79,4,0,2019,10,7,30.655936231979364,104.08961712994609,420.0
7,2,31,2014,89.33,6,0,2020,2,26,30.6016347482838,104.14439846072548,202.0
7,3,11,2003,51.07,5,1,2019,10,16,30.65569987506724,104.08359600011282,92.0
7,-1,-1,-1,-1.0,-1,0,-1,-1,-1,-1.0,-1.0,-1
7,3,7,2001,77.7,4,0,2019,10,6,30.6220102844229,104.11105380575462,105.0
7,1,37,2015,59.0,6,0,2019,11,4,30.59735730552731,104.16108897350763,78.0
7,3,34,2013,97.0,4,0,2019,4,22,30.60534731479341,104.14735343310731,420.0
7,1,29,2017,80.0,-1,1,2019,10,13,30.60337905445233,104.171407359748,136.0
7,2,16,2003,132.13,-1,1,2019,10,15,30.65692100479401,104.09251671640342,235.0
7,3,7,2000,64.29,4,0,2019,3,26,30.647055493440398,104.11493221733632,72.0
7,3,6,2017,62.17,4,0,2019,7,2,30.621287493224678,104.11282139072694,78.0
7,3,50,2015,201.56,8,1,2019,7,11,30.661904490317248,104.08956175659785,800.0
7,2,33,2017,81.19,5,0,2019,10,9,30.64541390626655,104.11587599956272,225.0
7,2,18,2007,83.6,8,0,2019,10,23,30.614126777319036,104.14299708077394,105.0
7,3,32,2009,55.61,2,1,2019,7,2,30.645006550122773,104.11234475341655,104.0
7,2,34,2008,82.13,4,0,2019,10,20,30.6063955762492,104.13066830656498,112.0
7,3,6,2007,96.0,5,0,2018,11,26,30.6036945048291,104.11466167466587,150.0
7,2,17,2004,133.96,2,0,2019,11,10,30.64260235889833,104.09931528833351,228.0
7,1,29,2009,85.21,4,1,2019,9,17,30.62000406247257,104.10178598780821,147.0
7,3,6,1990,111.68,4,1,2019,6,14,30.67173883967561,104.08898991327631,125.0
7,1,35,2016,87.0,3,1,2019,5,31,30.56269784099964,104.2813969643563,152.0
7,3,29,2008,123.48,5,1,2019,11,17,-1.0,-1.0,385.0
7,1,34,2012,40.47,4,1,2019,4,5,30.6667790504677,104.09261047883764,138.0
7,3,28,2010,52.49,4,1,2019,4,26,30.66103538082377,104.07409033063006,65.0
7,3,43,2018,133.72,1,1,2020,1,5,30.641720732501305,104.11620886666944,345.0
7,1,34,2010,51.23,5,0,2019,11,6,30.60125377904167,104.15235106598152,87.0
7,1,27,2017,43.0,4,0,2020,1,2,30.598353509139184,104.15768659647331,85.0
7,2,16,1999,73.49,5,1,2019,6,9,30.65514416453079,104.07396821947054,188.0
7,2,32,2017,71.79,2,1,2019,11,13,30.628964918992878,104.12841499702377,145.0
7,3,6,2006,123.0,4,0,2019,4,26,30.577689460644017,104.184827723372,190.0
7,1,18,2010,80.97,-1,1,2019,12,12,30.608936533113972,104.10353588694159,112.0
7,3,6,2004,124.68,8,0,2019,9,23,30.630709849630122,104.10141898509208,248.0
7,1,3,2007,112.14,4,1,2018,1,24,30.620450639831148,104.1237594002606,356.0
7,2,24,2003,86.84,5,1,2019,6,4,30.63905042154201,104.07312277205341,130.0
7,-1,-1,-1,-1.0,-1,0,-1,-1,-1,-1.0,-1.0,-1
7,3,34,2013,70.64,4,1,2019,10,16,30.61046517568022,104.15807099038409,111.1
7,2,42,2016,84.28,4,1,2018,11,17,30.661904490317248,104.08956175659785,178.0
7,3,33,2010,90.0,6,0,2019,8,23,30.59535214787435,104.14429282359072,148.0
7,1,22,2007,67.59,5,0,2019,11,20,30.65044762505819,104.0998970309818,75.0
7,3,31,2016,230.0,4,0,2019,7,26,30.642443058608734,104.12076674575924,750.0
7,3,18,2007,80.23,4,0,2019,11,10,30.614126777319036,104.14299708077394,112.0
7,3,38,2017,62.47,4,1,2019,10,11,30.606549900504017,104.16048100033848,109.0
7,3,34,2013,84.44,3,0,2019,12,20,30.62514934928329,104.12119255694384,168.0
7,3,33,2012,47.0,4,0,2019,5,19,30.62182869408504,104.09992663463987,113.0
7,3,6,2011,43.28,4,0,2019,9,11,30.61987256062358,104.14074242018124,50.0
7,-1,-1,-1,-1.0,-1,0,-1,-1,-1,-1.0,-1.0,-1
7,3,35,-1,73.0,4,0,2019,5,29,30.627261012928425,104.11856272354643,139.0
7,1,11,2004,79.24,8,0,2019,9,27,30.642918813567718,104.10257065767117,200.0
7,2,9,2000,88.34,4,1,2019,8,8,30.656043000013188,104.0923569761244,171.0
7,2,8,-1,65.78,6,1,2020,1,11,30.66922793802328,104.0934716915165,85.0
7,3,25,2000,140.93,-1,1,2019,7,23,-1.0,-1.0,180.0
7,1,41,2013,93.14,8,0,2019,10,14,30.6131741297929,104.14597304206406,140.0
7,3,34,2012,79.0,4,0,2019,10,1,30.605367478742878,104.15033808999478,126.0
7,3,6,2007,81.39,4,1,2019,5,3,30.620450639831148,104.1237594002606,318.0
7,2,18,2008,93.95,4,0,2020,2,17,30.577689460644017,104.184827723372,152.0
7,3,30,2009,87.08,7,0,2019,2,15,30.62000406247257,104.10178598780821,196.0
7,1,31,2014,125.0,4,0,2020,1,11,30.6016347482838,104.14439846072548,325.0
7,3,7,2000,38.33,3,1,2019,7,9,30.66730093140148,104.0883251941481,47.0
7,2,50,2015,67.24,2,1,2019,7,11,30.661904490317248,104.08956175659785,210.0
7,2,33,2014,73.1,4,0,2019,11,15,30.59570459809197,104.15536806995209,116.0
7,3,6,2004,153.85,4,1,2019,9,20,30.62500132556921,104.12678758813476,230.0
