编号,位置,区,房型,所处楼层级别,总楼层数,建造年份,面积,朝向,关注数,是否有VR房源,是否近地铁,单位价格,挂牌年,挂牌月,挂牌日,总价,纬度,经度
10249,成华区双桥路242号,2,3|2,3,6,1986,141.0,1,32,1,1,10070.9,2019,3,2,142.0,30.658121948232765,104.10770651011929
10250,成华区建设北路3段7号附1号,2,2|1,3,18,2007,79.44,5,36,1,0,16112.8,2018,5,2,128.0,30.680003888648773,104.11158570861656
10251,-1,2,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
10252,成华区祥和里96号,2,2|1,1,7,1996,78.09,4,27,1,1,11525.2,2019,6,29,90.0,30.66282309490155,104.10301175172741
10253,成华区二环路北四段2号,2,3|1,2,18,2007,96.52,2,42,1,1,16576.9,2019,4,17,160.0,30.632005578853878,104.05164022157908
10254,成华区二仙桥东三路1号附1号,2,3|1,2,7,-1,102.09,4,25,1,1,11264.6,2019,9,24,115.0,30.682089757273218,104.15195695150685
10255,成华区东丽街138号,2,2|2,3,20,2009,66.4,3,30,1,1,15963.9,2019,5,24,106.0,30.716354199842982,104.11698262212047
10256,成华区昭青路28号,2,2|2,3,7,1993,84.69,4,14,1,1,10036.6,2019,3,2,85.0,30.70780121200076,104.11307139993002
10257,成华区龙厢街299号,2,3|1,3,38,2016,65.0,3,3,1,0,18461.5,2020,2,13,120.0,30.71550374269893,104.1278455665508
10258,成华区二环路北四段2号,2,3|2,1,17,2007,104.59,4,20,1,1,16062.7,2018,9,27,168.0,30.632005578853878,104.05164022157908
10259,成华区荆翠中路300号,2,1|1,1,18,2011,51.0,5,2,1,1,13921.6,2019,5,26,71.0,30.722090253126424,104.1134157033642
10260,成华区东华二路19路,2,1|2,3,22,2011,55.06,5,9,1,0,13258.3,2019,11,14,73.0,30.688922239684164,104.1479198847992
10261,成华区荆翠中路300号,2,3|1,2,18,2011,87.14,4,40,1,1,15148.0,2019,10,10,132.0,30.722090253126424,104.1134157033642
