编号,位置,区,房型,所处楼层级别,总楼层数,建造年份,面积,朝向,关注数,是否有VR房源,是否近地铁,单位价格,挂牌年,挂牌月,挂牌日,总价,纬度,经度
0,锦江区顺江路49号,7,2|1,1,6,1998,63.0,4,88,1,0,11587.3,2019,10,21,73.0,30.64480587707361,104.09835909062667
1,锦江区华润路158号,7,2|1,3,29,2009,85.21,4,331,1,1,17603.6,2019,10,20,150.0,30.62000406247257,104.10178598780821
2,锦江区东大街芷泉段188号,7,3|1,2,38,2009,155.79,4,137,1,0,26959.4,2019,10,7,420.0,30.655936231979364,104.08961712994609
3,锦江区国香街666号,7,3|1,2,31,2014,89.33,6,36,1,0,22612.8,2020,2,26,202.0,30.6016347482838,104.14439846072548
4,锦江区龙王庙正街25号,7,1|0,3,11,2003,51.07,5,29,1,1,18014.5,2019,10,16,92.0,30.65569987506724,104.08359600011282
5,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
6,锦江区东怡路79号,7,3|1,3,7,2001,77.7,4,14,1,0,13513.5,2019,10,6,105.0,30.6220102844229,104.11105380575462
7,锦江区牡丹街39号,7,2|1,1,37,2015,59.0,6,80,1,0,13220.3,2019,11,4,78.0,30.59735730552731,104.16108897350763
8,锦江区牡丹街692号,7,4|2,3,34,2013,97.0,4,106,1,0,43299.0,2019,4,22,420.0,30.60534731479341,104.14735343310731
9,龙泉驿区大面镇行政学院旁,7,3|2,1,29,2017,80.0,-1,206,1,1,17000.0,2019,10,13,136.0,30.60337905445233,104.171407359748
10,锦江区天仙桥北路3号,7,3|1,2,16,2003,132.13,-1,126,1,1,17785.5,2019,10,15,235.0,30.65692100479401,104.09251671640342
11,锦江区牛市口路56号,7,2|1,3,7,2000,64.29,4,217,1,0,11199.3,2019,3,26,72.0,30.647055493440398,104.11493221733632
12,锦江区萃锦东路342号,7,2|2,3,6,2017,62.17,4,105,1,0,12546.2,2019,7,2,78.0,30.621287493224678,104.11282139072694
13,锦江区镗钯街38号,7,4|2,3,50,2015,201.56,8,26,1,1,39690.4,2019,7,11,800.0,30.661904490317248,104.08956175659785
14,锦江区通源街588号,7,3|1,2,33,2017,81.19,5,94,1,0,27712.8,2019,10,9,225.0,30.64541390626655,104.11587599956272
15,锦江区合欢树街289号,7,2|2,2,18,2007,83.6,8,50,1,0,12559.8,2019,10,23,105.0,30.614126777319036,104.14299708077394
16,锦江区锦东路668号,7,2|1,3,32,2009,55.61,2,114,1,1,18701.7,2019,7,2,104.0,30.645006550122773,104.11234475341655
17,锦江区静祥路33号,7,2|2,2,34,2008,82.13,4,168,1,0,13636.9,2019,10,20,112.0,30.6063955762492,104.13066830656498
18,锦江区经天三街50号,7,3|1,3,6,2007,96.0,5,164,1,0,15625.0,2018,11,26,150.0,30.6036945048291,104.11466167466587
19,锦江区顺江路123号,7,3|2,2,17,2004,133.96,2,83,1,0,17020.0,2019,11,10,228.0,30.64260235889833,104.09931528833351
20,锦江区华润路158号,7,2|2,1,29,2009,85.21,4,110,1,1,17251.5,2019,9,17,147.0,30.62000406247257,104.10178598780821
21,锦江区玉沙路134号,7,3|2,3,6,1990,111.68,4,130,1,1,11192.7,2019,6,14,125.0,30.67173883967561,104.08898991327631
22,龙泉驿区东三环,7,3|2,1,35,2016,87.0,3,80,1,1,17471.3,2019,5,31,152.0,30.56269784099964,104.2813969643563
23,-1,7,2|2,3,29,2008,123.48,5,93,1,1,31179.1,2019,11,17,385.0,-1.0,-1.0
24,锦江区庆云南街69号,7,1|1,1,34,2012,40.47,4,50,1,1,34099.3,2019,4,5,138.0,30.6667790504677,104.09261047883764
25,锦江区梨花街12号,7,1|1,3,28,2010,52.49,4,34,0,1,12383.3,2019,4,26,65.0,30.66103538082377,104.07409033063006
26,锦江区东大路577号,7,3|2,3,43,2018,133.72,1,95,1,1,25800.2,2020,1,5,345.0,30.641720732501305,104.11620886666944
27,锦江区喜树街668号,7,2|1,1,34,2010,51.23,5,60,1,0,16982.2,2019,11,6,87.0,30.60125377904167,104.15235106598152
28,锦江区牡丹街199号,7,1|1,1,27,2017,43.0,4,50,1,0,19767.4,2020,1,2,85.0,30.598353509139184,104.15768659647331
29,锦江区盐道街6号,7,2|1,2,16,1999,73.49,5,99,1,1,25581.7,2019,6,9,188.0,30.65514416453079,104.07396821947054
30,锦江区东大路与静康路交汇处华宇广场,7,3|2,2,32,2017,71.79,2,92,1,1,20197.8,2019,11,13,145.0,30.628964918992878,104.12841499702377
31,锦江区成龙大道一段9号,7,3|1,3,6,2006,123.0,4,110,1,0,15447.2,2019,4,26,190.0,30.577689460644017,104.184827723372
32,锦江区琉璃一街76号,7,2|1,1,18,2010,80.97,-1,58,1,1,13832.3,2019,12,12,112.0,30.608936533113972,104.10353588694159
33,锦江区三官堂街31号,7,3|2,3,6,2004,124.68,8,135,1,0,19890.9,2019,9,23,248.0,30.630709849630122,104.10141898509208
34,锦江区静安路1号,7,3|1,1,3,2007,112.14,4,111,1,1,31746.0,2018,1,24,356.0,30.620450639831148,104.1237594002606
35,锦江区人民南路一段97号,7,2|1,2,24,2003,86.84,5,87,1,1,14970.1,2019,6,4,130.0,30.63905042154201,104.07312277205341
36,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
37,锦江区榆钱街331号,7,2|1,3,34,2013,70.64,4,66,1,1,15727.6,2019,10,16,111.1,30.61046517568022,104.15807099038409
38,锦江区锦绣大道355号,7,3|2,2,42,2016,84.28,4,294,1,1,21120.1,2018,11,17,178.0,30.661904490317248,104.08956175659785
39,锦江区白桦林路29号,7,2|1,3,33,2010,90.0,6,78,1,0,16444.4,2019,8,23,148.0,30.59535214787435,104.14429282359072
40,锦江区一环路东五段108号,7,2|1,1,22,2007,67.59,5,42,0,0,11096.3,2019,11,20,75.0,30.65044762505819,104.0998970309818
41,锦江区东二环汇源北路99号,7,5|2,3,31,2016,230.0,4,87,1,0,32608.7,2019,7,26,750.0,30.642443058608734,104.12076674575924
42,锦江区合欢树街289号,7,2|1,3,18,2007,80.23,4,49,1,0,13959.9,2019,11,10,112.0,30.614126777319036,104.14299708077394
43,锦江区银木街675号,7,2|2,3,38,2017,62.47,4,33,1,1,17448.4,2019,10,11,109.0,30.606549900504017,104.16048100033848
44,锦江区静沙南路29号,7,3|2,3,34,2013,84.44,3,54,1,0,19895.8,2019,12,20,168.0,30.62514934928329,104.12119255694384
45,锦江区琉璃路299号,7,1|1,3,33,2012,47.0,4,120,1,0,24042.6,2019,5,19,113.0,30.62182869408504,104.09992663463987
46,锦江区国槐街1199号,7,1|1,3,6,2011,43.28,4,80,1,0,11552.7,2019,9,11,50.0,30.61987256062358,104.14074242018124
47,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
48,锦江区马家沟188号,7,2|2,3,35,-1,73.0,4,43,1,0,19041.1,2019,5,29,139.0,30.627261012928425,104.11856272354643
49,锦江区莲花西路76号,7,2|1,1,11,2004,79.24,8,14,1,0,25239.8,2019,9,27,200.0,30.642918813567718,104.10257065767117
50,锦江区天仙桥北路6号,7,3|1,2,9,2000,88.34,4,126,1,1,19357.0,2019,8,8,171.0,30.656043000013188,104.0923569761244
51,锦江区东新街5号,7,3|1,2,8,-1,65.78,6,11,1,1,12921.9,2020,1,11,85.0,30.66922793802328,104.0934716915165
52,-1,7,3|2,3,25,2000,140.93,-1,32,1,1,12772.3,2019,7,23,180.0,-1.0,-1.0
53,锦江区航天立交桥三环外红豆树街377号,7,3|2,1,41,2013,93.14,8,79,1,0,15031.1,2019,10,14,140.0,30.6131741297929,104.14597304206406
54,锦江区茶花街488号,7,2|1,3,34,2012,79.0,4,57,1,0,15949.4,2019,10,1,126.0,30.605367478742878,104.15033808999478
55,锦江区静安路1号,7,3|2,3,6,2007,81.39,4,43,1,1,39071.1,2019,5,3,318.0,30.620450639831148,104.1237594002606
56,锦江区成龙大道一段9号,7,2|1,2,18,2008,93.95,4,28,1,0,16178.8,2020,2,17,152.0,30.577689460644017,104.184827723372
57,锦江区华润路158号,7,2|1,3,30,2009,87.08,7,363,1,0,22508.0,2019,2,15,196.0,30.62000406247257,104.10178598780821
58,锦江区国香街666号,7,4|2,1,31,2014,125.0,4,23,1,0,26000.0,2020,1,11,325.0,30.6016347482838,104.14439846072548
59,锦江区双栅子街51号,7,1|1,3,7,2000,38.33,3,196,1,1,12261.9,2019,7,9,47.0,30.66730093140148,104.0883251941481
60,锦江区镗钯街38号,7,1|2,2,50,2015,67.24,2,21,1,1,31231.4,2019,7,11,210.0,30.661904490317248,104.08956175659785
61,锦江区栀子街855号,7,2|1,2,33,2014,73.1,4,85,1,0,15868.7,2019,11,15,116.0,30.59570459809197,104.15536806995209
62,锦江区菱窠路31号,7,4|2,3,6,2004,153.85,4,58,1,1,14949.6,2019,9,20,230.0,30.62500132556921,104.12678758813476
63,锦江区水碾河路南46号,7,1|1,3,7,1998,47.45,6,34,1,1,11169.7,2019,10,11,53.0,30.65193816864114,104.10993282917316
64,锦江区二环路东四段36号,7,1|1,1,17,2004,60.79,4,67,1,0,12831.1,2019,3,4,78.0,30.64592585106011,104.11404753193449
65,锦江区顺江路305号,7,3|1,1,12,2004,140.37,6,45,1,0,18380.0,2019,12,26,258.0,30.640878076904322,104.10026737898762
66,锦江区宏济新路201号,7,3|2,3,6,1994,91.6,3,61,1,1,11899.6,2019,5,7,109.0,30.644396838536515,104.10125556625201
67,锦江区锦华路一段65号,7,2|2,3,4,2005,88.16,4,1,1,0,20984.6,2020,2,28,185.0,30.60430881379376,104.1047002615606
68,锦江区静安路1号,7,4|1,3,6,2007,76.2,4,118,1,1,35301.8,2019,8,30,269.0,30.620450639831148,104.1237594002606
69,锦江区大田坎街162号,7,3|2,3,22,2003,131.27,7,263,1,0,15228.2,2019,6,8,199.9,30.65104009313534,104.11158712973592
70,锦江区海椒市街9号,7,2|1,2,34,2009,65.58,4,83,1,1,20585.5,2019,8,11,135.0,30.64474555061814,104.10923811921715
71,锦江区锦华路一段68号,7,3|2,3,24,2014,73.0,3,107,1,0,20821.9,2019,6,9,152.0,30.60430881379376,104.1047002615606
72,锦江区菱安路266号,7,3|2,1,32,2015,89.04,-1,289,1,1,26841.9,2018,9,23,239.0,30.61612309408577,104.123659408976
73,锦江区东大街芷泉段88号,7,3|2,2,40,2011,213.33,7,77,1,0,35531.8,2019,11,16,758.0,30.655936231979364,104.08961712994609
74,锦江区净居寺南街198号,7,4|2,3,6,2002,134.98,5,99,1,0,13187.1,2018,1,3,178.0,30.625539294891595,104.1123127396048
75,锦江区喜树街780号,7,2|2,2,34,2009,82.54,4,92,1,0,15265.3,2019,11,8,126.0,30.59954270057934,104.15098705733584
76,锦江区佳宏路220号,7,3|2,1,26,2008,104.5,4,82,1,1,17703.3,2019,8,20,185.0,30.621781775671092,104.13521957412621
77,锦江区锦东路668号,7,2|1,3,32,2009,54.82,8,110,1,1,17876.7,2019,12,18,98.0,30.645006550122773,104.11234475341655
78,锦江区牛沙北路171号,7,4|2,1,16,2009,116.58,-1,95,1,1,25561.8,2019,6,29,298.0,30.633885904305068,104.1188088152392
79,锦江区劼人路238号,7,2|2,1,6,2002,74.0,3,19,1,1,12567.6,2019,7,1,93.0,30.621314702536157,104.12971360902831
80,锦江区海椒市街15号,7,2|1,3,7,1988,82.0,4,60,1,0,11097.6,2019,3,14,91.0,30.64176907165897,104.10823879745598
81,锦江区水碾河路南46号,7,2|1,1,6,1998,56.28,4,55,1,1,12970.9,2019,11,13,73.0,30.65193816864114,104.10993282917316
82,锦江区成龙路与银杏大道交汇处,7,2|1,1,18,2015,54.29,6,7,1,0,20261.6,2019,12,14,110.0,30.59045236613673,104.1585816860496
83,锦江区宏济新路95号,7,2|1,3,6,1985,56.76,6,123,1,0,13037.4,2019,8,20,74.0,30.645555484321843,104.09976239025706
84,锦江区静安路368号,7,4|2,3,6,2005,163.31,3,68,1,1,20207.0,2018,5,27,330.0,30.613276892873408,104.12203178539195
85,锦江区红豆树街77号,7,3|1,1,33,-1,88.17,5,31,1,0,15651.6,2019,12,17,138.0,30.608595411625174,104.14172824400384
86,锦江区观音桥支路16号,7,1|1,2,7,2013,36.03,5,209,1,0,15542.6,2018,12,26,56.0,30.625574465193697,104.11205499509295
87,锦江区喜树街618号,7,3|1,1,34,2011,84.43,4,127,1,0,17766.2,2018,9,7,150.0,30.603596223801322,104.15392407348888
88,锦江区芙蓉西路707号,7,2|1,3,33,2015,77.0,4,78,1,0,20324.7,2019,11,17,156.5,30.613933221626905,104.14830074118288
89,锦江区镗钯街38号,7,2|1,2,50,2015,88.71,4,52,1,1,31563.5,2019,11,24,280.0,30.661904490317248,104.08956175659785
90,锦江区东顺城中街大慈寺4号,7,2|1,3,7,2000,96.43,4,1,1,1,30384.7,2019,12,6,293.0,30.659905394654075,104.09080510125419
91,锦江区岷江路1668号,7,2|2,2,36,2013,68.0,6,60,1,1,20588.2,2019,7,19,140.0,30.661904490317248,104.08956175659785
92,锦江区喜树街668号,7,3|1,1,34,2010,72.13,-1,162,1,0,16636.6,2018,10,21,120.0,30.60125377904167,104.15235106598152
93,锦江区樱花路999号,7,2|1,1,29,2015,77.28,2,64,1,1,36231.9,2018,9,4,280.0,30.613531841888584,104.15397821166702
94,锦江区顺江路49号,7,2|1,3,6,2000,54.58,4,136,1,0,12642.0,2019,4,24,69.0,30.64480587707361,104.09835909062667
95,锦江区二郞山路66号,7,4|1,2,33,2015,141.3,6,145,1,1,26893.1,2019,7,19,380.0,30.661904490317248,104.08956175659785
96,锦江区牛沙北路171号,7,1|1,1,19,2009,45.83,4,70,1,1,21819.8,2019,6,16,100.0,30.633885904305068,104.1188088152392
97,锦江区琉璃一街76号,7,2|2,2,11,2009,83.1,5,80,1,1,13838.7,2019,10,1,115.0,30.608936533113972,104.10353588694159
98,锦江区东二环汇源北路99号,7,4|1,2,31,2016,210.0,6,52,1,1,34047.6,2019,8,6,715.0,30.642443058608734,104.12076674575924
99,锦江区枫树街253号,7,3|1,2,32,2010,130.73,6,4,1,0,23483.5,2019,12,13,307.0,30.604712069224966,104.14273004957977
100,锦江区汇源北路333号,7,3|1,2,40,2017,88.26,8,38,1,0,33763.9,2019,12,23,298.0,30.645117732951718,104.12206927707071
101,锦江区成龙大道一段9号,7,3|1,1,24,2006,129.0,4,65,1,0,17209.3,2019,8,15,222.0,30.577689460644017,104.184827723372
102,锦江区狮子山路2号,7,3|2,3,6,2007,99.7,4,101,1,1,12637.9,2019,2,22,126.0,30.622296714514896,104.12654156111999
103,锦江区莲花西路76号,7,3|1,1,12,2004,128.83,2,76,1,0,17076.8,2018,12,6,220.0,30.642918813567718,104.10257065767117
104,锦江区牡丹街199号,7,1|1,3,27,2017,42.92,-1,8,1,0,20503.3,2019,10,12,88.0,30.598353509139184,104.15768659647331
105,锦江区静安路1号,7,2|2,1,11,2007,95.53,4,32,1,1,28263.4,2019,6,9,270.0,30.620450639831148,104.1237594002606
106,锦江区锦华路三段181号,7,3|2,3,6,2005,116.7,5,66,1,0,11825.2,2018,5,27,138.0,30.60430881379376,104.1047002615606
107,锦江区华润路2号,7,4|2,3,5,2006,176.8,5,95,1,0,32239.8,2018,7,22,570.0,30.61767582926619,104.09621985690214
108,锦江区三官堂街16号,7,2|2,3,6,2005,79.16,4,54,1,0,20212.2,2019,11,23,160.0,30.633565194860118,104.1020143047298
109,锦江区翠柳湾支路199号,7,2|1,1,42,2009,77.02,7,50,1,0,18566.6,2019,12,28,143.0,30.60501480604164,104.0903057332212
110,锦江区三官堂街31号,7,2|1,2,6,2004,59.14,1,103,1,0,16063.6,2019,6,15,95.0,30.630709849630122,104.10141898509208
111,锦江区桂馨路75号,7,2|1,1,18,2000,84.92,-1,74,1,0,17074.9,2018,8,22,145.0,30.59383474358028,104.10558048148577
112,锦江区大观街158号,7,3|1,2,6,2004,82.44,4,91,1,0,12105.8,2018,6,1,99.8,30.61510477954537,104.14223090073332
113,锦江区莲花西路311号,7,3|1,2,7,2001,75.66,4,202,1,0,14010.0,2018,9,16,106.0,30.645841332378808,104.10517220073316
114,锦江区华润路158号,7,3|2,2,30,2009,86.96,2,49,1,1,27828.9,2019,12,9,242.0,30.62000406247257,104.10178598780821
115,锦江区牛市口路14号,7,3|2,3,6,1998,97.4,4,51,1,0,10883.0,2019,5,11,106.0,30.646433922326786,104.11331394241772
116,锦江区菱安路333号,7,4|2,1,32,2011,139.96,2,19,1,1,30723.1,2019,9,17,430.0,30.6147951284988,104.12358641536517
117,锦江区汇源东路88号,7,3|1,1,26,2016,176.0,1,57,1,0,34659.1,2019,7,18,610.0,30.641609103509477,104.12360802769743
118,锦江区牛沙北路171号,7,3|2,2,33,2009,123.0,4,74,1,1,24796.7,2019,9,12,305.0,30.633885904305068,104.1188088152392
119,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
120,锦江区成龙大道一段9号,7,3|2,3,12,2006,131.26,-1,125,1,0,16608.3,2019,8,24,218.0,30.577689460644017,104.184827723372
121,锦江区锦东路568号,7,3|1,3,40,2012,146.12,3,38,1,0,21831.4,2019,11,25,319.0,30.646049978667158,104.11022071632635
122,锦江区城隍庙街48号,7,3|2,2,7,2000,120.44,5,96,1,1,11624.0,2018,4,2,140.0,30.670530075531374,104.09613399955644
123,锦江区龙王庙南街20号,7,2|2,2,7,1995,83.44,4,32,1,0,17377.8,2019,12,18,145.0,30.65506108095775,104.0839625923033
124,锦江区宏济新路49号,7,3|2,2,41,2009,94.42,6,59,1,0,25842.0,2019,4,6,244.0,30.646287041305236,104.09945219009327
125,锦江区香樟大道百日红中路506号,7,2|1,1,31,2014,83.56,8,49,1,0,19147.9,2019,4,12,160.0,30.607059482558046,104.15480348314243
126,锦江区南府街18号,7,2|1,2,32,2009,61.42,2,48,1,1,36633.0,2019,12,29,225.0,30.654784014732016,104.07706327271532
127,龙泉驿区东三环,7,2|1,2,35,2016,72.0,4,90,1,1,18055.6,2019,11,22,130.0,30.56269784099964,104.2813969643563
128,锦江区上沙河铺街66号,7,1|1,1,31,2018,47.95,4,17,1,1,29197.1,2019,8,26,140.0,30.63461223107547,104.1276948704117
129,锦江区马家沟188号,7,2|2,1,33,2014,73.08,2,120,1,0,18746.6,2018,3,22,137.0,30.627261012928425,104.11856272354643
130,锦江区琉璃路718号,7,4|2,1,3,2008,172.39,4,12,1,1,49306.8,2019,11,1,850.0,30.61633414172192,104.10075297779377
131,锦江区莲桂西路168号,7,2|2,2,18,2003,99.29,4,26,1,0,17121.6,2020,1,4,170.0,30.642235774373532,104.10110619960504
132,锦江区东二环汇源北路99号,7,5|2,1,31,2016,230.0,6,14,1,0,37391.3,2019,11,14,860.0,30.642443058608734,104.12076674575924
133,锦江区青龙横街37号,7,2|1,3,7,1996,48.9,2,46,1,0,16359.9,2019,9,21,80.0,30.649925266260585,104.09552903301581
134,锦江区锦东路555号,7,1|1,3,15,2004,44.57,6,64,1,1,12115.8,2019,12,7,54.0,30.645870907272965,104.1124561774354
135,锦江区上沙河浦街212号,7,2|1,3,6,2002,89.16,4,15,1,0,10094.2,2019,10,17,90.0,30.661904490317248,104.08956175659785
136,锦江区锦江区大川巷8号,7,2|2,2,11,2004,92.13,4,65,1,1,16607.0,2019,12,2,153.0,30.651204750531782,104.0897718810363
137,锦江区喜树街780号,7,1|1,3,34,2009,41.0,8,24,1,0,17926.8,2019,10,22,73.5,30.59954270057934,104.15098705733584
138,锦江区牡丹街39号,7,3|2,3,30,2015,85.07,4,19,1,0,19395.8,2019,9,18,165.0,30.59735730552731,104.16108897350763
139,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
140,锦江区隆兴街32号,7,2|1,3,6,1995,43.5,6,35,1,1,13701.1,2019,12,16,59.6,30.667755741435705,104.08707626023485
141,锦江区经天西路17号,7,1|0,2,33,2012,37.05,7,42,0,0,9986.5,2019,5,8,37.0,30.606576235532547,104.10981710855906
142,锦江区佳宏路220号,7,2|2,1,26,2008,127.53,4,38,1,1,16466.7,2017,10,5,210.0,30.621781775671092,104.13521957412621
143,锦江区科创路2号,7,1|1,3,7,2000,54.2,5,43,1,1,10885.6,2019,7,14,59.0,30.608807155744557,104.10071664492908
144,锦江区大观街156号,7,3|1,2,6,2004,94.36,4,42,1,0,11975.4,2019,5,11,113.0,30.615488831547356,104.14310780860605
145,锦江区大田坎街162号,7,3|2,3,18,2003,136.8,-1,29,1,0,16447.4,2019,8,17,225.0,30.65104009313534,104.11158712973592
146,锦江区东较场街93号,7,3|2,1,28,2012,91.14,7,65,1,1,28527.5,2019,4,23,260.0,30.670870900228405,104.09631800216894
147,锦江区牡丹街595号,7,3|1,3,34,2011,104.0,4,22,1,0,17115.4,2020,1,8,178.0,30.60427339829133,104.14883024736574
148,锦江区航天立交桥三环外红豆树街377号,7,3|1,3,32,2013,90.32,8,225,1,0,16054.0,2019,3,27,145.0,30.6131741297929,104.14597304206406
149,锦江区华润路158号,7,2|1,3,29,2009,85.91,5,149,1,1,21185.0,2019,9,14,182.0,30.62000406247257,104.10178598780821
150,锦江区华润路158号,7,1|1,2,29,2009,85.05,4,39,1,1,19988.2,2019,5,15,170.0,30.62000406247257,104.10178598780821
151,锦江区大业路6号,7,2|1,3,29,2006,72.81,8,26,1,1,32413.1,2019,11,20,236.0,30.65819408091493,104.07650865889345
152,锦江区晨辉路1号,7,3|1,1,6,2003,79.46,5,21,1,1,14095.1,2019,9,12,112.0,30.616500720040143,104.10711208878702
153,锦江区海椒市街13号附1号,7,3|1,3,7,1998,89.87,4,38,1,0,12462.4,2019,6,23,112.0,30.64371653801741,104.10868337963255
154,锦江区成龙大道一段9号,7,4|1,1,6,2008,150.98,6,45,1,0,21194.9,2019,1,17,320.0,30.577689460644017,104.184827723372
155,锦江区喜树街668号,7,2|1,2,34,2010,51.0,4,35,1,0,16666.7,2019,6,21,85.0,30.60125377904167,104.15235106598152
156,锦江区梨花街12号,7,1|0,3,37,2010,40.85,7,23,1,1,35495.7,2019,11,3,145.0,30.66103538082377,104.07409033063006
157,锦江区经天中路349号,7,1|1,1,6,2005,42.64,3,60,1,0,11726.1,2019,8,4,50.0,30.60426688800497,104.1125999997408
158,锦江区东四横街8号,7,3|1,3,33,2008,112.34,4,185,1,0,15132.6,2018,5,15,170.0,30.64507167182149,104.1071397988171
159,锦江区三槐树路5号,7,2|2,3,7,1990,70.11,4,34,1,1,11410.6,2019,7,26,80.0,30.668756826158766,104.09560420591579
160,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
161,锦江区竹林巷21号,7,1|1,1,12,2003,68.74,6,88,1,1,12365.4,2019,5,12,85.0,30.669078444091806,104.08757697303119
162,锦江区茶花街488号,7,3|2,3,34,2012,110.0,2,5,1,0,21818.2,2019,12,17,240.0,30.605367478742878,104.15033808999478
163,锦江区水杉街166号,7,2|1,2,31,2011,84.34,4,25,1,0,16480.9,2019,7,26,139.0,30.608821878587182,104.13290017984184
164,锦江区琉璃路661号,7,2|1,1,6,2003,64.69,6,25,1,1,18550.0,2020,1,10,120.0,30.612214791333386,104.10259662678514
165,锦江区锦绣大道355号,7,2|1,1,34,2016,72.0,2,29,1,1,23333.3,2019,12,15,168.0,30.661904490317248,104.08956175659785
166,锦江区琉璃路299号,7,3|2,2,33,2012,89.0,4,10,1,0,29775.3,2020,1,18,265.0,30.62182869408504,104.09992663463987
167,锦江区琉璃路299号,7,3|1,1,32,2012,91.49,6,44,1,0,24592.9,2019,12,8,225.0,30.62182869408504,104.09992663463987
168,锦江区梨花街12号,7,1|1,1,28,2010,39.09,3,74,0,1,12279.4,2019,3,7,48.0,30.66103538082377,104.07409033063006
169,锦江区玫瑰街10号,7,3|2,2,39,-1,107.54,4,24,1,1,22317.3,2019,12,19,240.0,30.609350412166577,104.16030989739308
170,锦江区均隆街64号,7,3|1,3,8,1996,77.0,-1,63,1,1,18441.6,2019,5,25,142.0,30.65618045390809,104.09582170993404
171,锦江区菱窠路31号,7,4|2,3,6,2004,187.77,6,30,1,1,14911.9,2018,10,15,280.0,30.62500132556921,104.12678758813476
172,锦江区大田坎街162号,7,3|2,3,26,2003,111.94,1,61,1,0,16080.0,2019,10,22,180.0,30.65104009313534,104.11158712973592
173,锦江区东大街芷泉段88号,7,3|2,2,43,2011,217.0,7,101,1,0,35023.0,2018,12,23,760.0,30.655936231979364,104.08961712994609
174,锦江区莲花新区北三巷1号,7,3|1,1,7,-1,72.85,-1,10,1,0,12079.6,2019,8,18,88.0,30.643613316823267,104.10609039832035
175,锦江区华润路158号,7,1|1,1,30,2009,50.87,3,38,1,0,27324.6,2018,8,4,139.0,30.62000406247257,104.10178598780821
176,锦江区莲桂西路168号,7,3|1,1,18,2003,108.35,6,85,1,0,18458.7,2019,6,18,200.0,30.642235774373532,104.10110619960504
177,锦江区喜树街668号,7,3|1,3,34,2011,72.01,6,39,1,0,17330.9,2019,9,20,124.8,30.60125377904167,104.15235106598152
178,锦江区三官堂街31号,7,2|1,3,6,2004,71.0,8,28,1,0,16619.7,2020,1,11,118.0,30.630709849630122,104.10141898509208
179,锦江区华润路2号,7,5|2,1,5,2006,228.0,4,17,1,0,39473.7,2019,10,26,900.0,30.61767582926619,104.09621985690214
180,锦江区马家沟99号,7,2|1,1,21,2016,92.86,4,63,1,1,19384.0,2019,7,9,180.0,30.63190491479477,104.11980554089745
181,锦江区顺江路81号,7,5|2,1,29,2006,233.26,5,42,1,0,21435.3,2019,4,21,500.0,30.64386136061326,104.09836096089876
182,锦江区牛沙后街88号,7,2|2,1,30,2012,90.12,5,68,1,0,19418.6,2019,5,4,175.0,30.632215400677442,104.10978045769423
183,锦江区经天西路17号,7,3|1,2,33,2012,72.39,3,17,0,0,10913.1,2019,12,1,79.0,30.606576235532547,104.10981710855906
184,锦江区莲桂西路98号,7,2|1,1,7,2000,61.15,6,29,1,0,14717.9,2019,11,15,90.0,30.641882631678897,104.10224502192379
185,锦江区东怡街16号,7,2|2,2,7,2002,82.77,-1,32,1,1,12081.7,2019,8,1,100.0,30.621641774464898,104.10647607051986
186,锦江区大田坎街162号,7,1|1,3,26,2003,57.69,-1,20,1,0,16987.3,2019,10,27,98.0,30.65104009313534,104.11158712973592
187,锦江区橡树林路166号,7,4|2,3,34,2009,164.22,4,88,1,0,24662.0,2018,11,12,405.0,30.628217848389024,104.09874893635359
188,锦江区南府街50号,7,2|1,2,7,1995,72.54,5,27,1,1,31706.6,2020,1,12,230.0,30.6547126645372,104.07653279815914
189,锦江区经天路2号,7,3|1,3,6,2005,114.48,3,3,1,1,11355.7,2019,12,16,130.0,30.60793445016459,104.10653961485502
190,锦江区经天西路17号,7,2|1,3,33,2012,72.39,4,28,0,0,10222.4,2019,7,7,74.0,30.606576235532547,104.10981710855906
191,锦江区芙蓉西路707号,7,3|2,3,29,2015,89.67,4,62,1,0,22081.0,2019,7,3,198.0,30.613933221626905,104.14830074118288
192,锦江区较场坝东街67号,7,1|1,2,7,1995,28.52,5,38,1,1,16129.0,2019,9,20,46.0,30.654304087264837,104.0973212297625
193,锦江区顺江路81号,7,4|2,3,29,2006,170.1,5,35,1,0,24691.4,2019,5,23,420.0,30.64386136061326,104.09836096089876
194,锦江区岷江路1668号,7,3|2,2,36,2013,88.7,3,27,1,1,23337.1,2019,7,11,207.0,30.661904490317248,104.08956175659785
195,锦江区大慈寺路3号,7,1|1,1,51,2012,85.14,3,34,1,1,35236.1,2019,12,25,300.0,30.659400599969267,104.0934272810887
